,service,flag,src_bytes,dst_bytes,count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,Label
378,12,9,36,0,2,0,1,0,171,1,0,0,4
32038,24,5,0,0,42,1,0.26,0.1,44,0.17,0.05,1,0
86399,47,5,0,0,284,1,0.07,0.06,20,0.08,0.06,1,0
74412,49,1,0,0,110,0,0.07,0.06,27,0.11,0.07,0,0
52951,49,4,0,0,1,0,1,0,1,0.01,0.64,0.04,1
62143,24,9,325,4673,20,0,1,0,255,1,0,0,4
21449,49,5,0,0,133,1,0.1,0.07,33,0.13,0.06,1,0
120009,49,1,0,0,101,0,0.17,0.08,17,0.07,0.07,0,0
34191,29,1,0,0,285,0,0.06,0.06,18,0.07,0.08,0,0
66591,54,9,743,335,1,0,1,0,85,0.62,0.05,0,4
102692,17,5,0,0,147,1,0.12,0.05,8,0.03,0.07,1,0
41642,24,9,209,29055,3,0,1,0,255,1,0,0,4
88214,60,5,0,0,78,0.99,0.24,0.06,39,0.15,0.05,1,0
92209,20,9,567,0,1,0,1,0,39,0.35,0.04,0.02,4
85247,24,9,243,929,13,0,1,0,255,1,0,0,4
29556,12,9,45,45,196,0,1,0,234,0.92,0.01,0,4
30211,12,9,46,85,143,0,1,0,255,1,0,0,4
97145,24,9,313,421,11,0,1,0,255,1,0,0,4
9810,18,9,9,141,2,0,0.5,1,13,0.06,0.02,0,4
67283,20,9,35,0,2,0,1,0,58,0.23,0.4,0.4,4
76576,24,9,294,545,3,0,1,0,255,1,0,0,4
75092,12,9,44,125,80,0,1,0,245,0.96,0.01,0,4
13282,15,9,1032,0,511,0,1,0,186,0.73,0.02,0,0
113090,24,9,233,6084,22,0,1,0,255,1,0,0,4
100614,24,9,229,2356,3,0,1,0,255,1,0,0,4
116576,24,9,345,566,17,0,1,0,255,1,0,0,4
13996,20,9,334,0,1,0,1,0,18,1,0,0,2
71620,66,5,0,0,142,1,0.15,0.05,22,0.09,0.05,1,0
92022,19,9,246,773,1,0,1,0,21,0.44,0.1,0,4
60769,15,9,30,0,2,0,1,0,221,1,0,0,4
19308,20,9,854,0,1,0,1,0,88,0.38,0.03,0.01,4
81853,49,5,0,0,22,1,0.23,0.18,18,0.07,0.08,1,0
33295,24,9,148,2893,1,0,1,0,254,1,0,0,4
91638,44,9,516,4,215,0,1,0,215,1,0,0,4
85889,49,5,0,0,107,1,0.07,0.07,30,0.12,0.05,1,0
73241,28,5,0,0,164,1,0.11,0.07,18,0.07,0.07,1,0
89361,18,5,0,0,227,1,0.05,0.06,1,0,0.07,1,0
39649,49,5,0,0,83,1,0.3,0.06,25,0.1,0.05,1,0
17495,14,9,30,0,1,0,1,0,131,1,0,0,4
62169,24,5,0,0,13,1,0.62,0.23,56,0.22,0.02,1,0
96799,67,5,0,0,118,1,0.12,0.07,14,0.05,0.08,1,0
49563,24,9,200,354,68,0,1,0,255,1,0,0,4
115360,12,9,43,75,109,0,1,0,255,1,0,0,4
29538,54,9,844,326,1,0,1,0,140,0.73,0.13,0,4
46227,23,1,0,0,277,0,0.03,0.06,9,0.04,0.07,0,0
87380,47,9,35,130,1,0,1,0,7,0.13,0.27,0,4
83742,49,1,0,0,143,0,0.07,0.06,7,0.03,0.07,0,0
101656,49,10,0,0,1,1,1,0,1,0.01,0.9,0.92,1
28136,24,9,201,1315,11,0,1,0,255,1,0,0,4
124286,49,5,0,0,282,1,0.07,0.05,18,0.07,0.05,1,0
92903,20,9,30,0,1,0,1,0,47,1,0,0,2
4083,20,9,12,0,1,0,1,0,93,0.39,0.05,0,4
7031,49,1,0,0,103,0.01,0.01,1,1,0,0.42,0,1
33878,24,9,343,1714,13,0,1,0,255,1,0,0,4
117887,54,9,1435,337,1,0,1,0,142,0.38,0.02,0,4
87405,24,9,237,12155,5,0,1,0,255,1,0,0,4
52005,49,5,0,0,199,1,0.08,0.06,15,0.06,0.07,1,0
85271,49,5,0,0,292,1,0.04,0.05,11,0.04,0.08,1,0
1199,24,9,210,566,7,0,1,0,255,1,0,0,4
58497,54,9,1069,333,1,0,1,0,179,0.58,0.04,0,4
20441,30,5,0,0,103,1,0.19,0.06,17,0.07,0.05,1,0
104257,54,9,3844,377,1,0,1,0,152,0.55,0.06,0,4
23604,24,9,262,11785,1,0,1,0,154,1,0,0,4
88360,24,9,231,18499,5,0,1,0,255,1,0,0,4
80712,24,9,197,27228,12,0,1,0,255,1,0,0,4
2071,24,9,205,10044,11,0,1,0,255,1,0,0,4
92192,44,9,147,105,4,0,0.5,0.5,3,0.01,0.64,0,4
47464,67,5,0,0,204,1,0.04,0.06,19,0.07,0.07,1,0
41175,12,9,44,133,80,0,1,0,254,1,0.01,0,4
56046,44,9,516,4,166,0,1,0,166,1,0,0,4
93488,47,9,38,130,1,0,1,0,9,0.04,0.08,0.03,4
118668,24,9,164,28382,1,0,1,0,255,1,0,0.05,4
1599,49,5,0,0,101,1,0.1,0.07,10,0.07,0.07,1,0
116737,49,1,0,0,89,0,0.07,0.07,6,0.02,0.06,0,0
42746,54,9,1362,380,1,0,1,0,191,0.73,0.03,0,4
42361,49,9,105,146,3,0,0.67,0.67,253,0.99,0.01,0,4
63005,18,5,0,0,3,0.33,0.33,1,2,0.12,0.19,0.12,0
67013,49,5,0,0,132,1,0.15,0.06,5,0.02,0.08,1,0
58533,14,9,30,0,2,0,1,0,224,1,0,0,4
40208,24,5,0,0,8,1,0.62,0.25,60,0.24,0.04,1,0
20717,24,9,248,4196,3,0,1,0,255,1,0,0,4
98484,54,9,13247,1430,1,0,1,0,244,0.96,0.02,0,4
39079,36,5,0,0,144,1,0.13,0.05,3,0.01,0.05,1,0
72634,24,9,236,1872,1,0,1,0,255,1,0,0,4
95323,12,9,45,143,71,0,1,0,255,1,0,0,4
41610,20,9,373,0,17,0,1,0,101,0.4,0.03,0,4
6098,44,9,145,105,1,0,1,0,1,0,0.64,0,4
7395,5,5,0,0,219,1,0.08,0.06,4,0.02,0.09,1,0
101704,37,1,0,0,292,0,0.04,0.05,13,0.05,0.08,0,0
82995,54,9,1165,325,1,0,1,0,126,0.76,0.02,0,4
114477,2,5,0,0,193,1,0.02,0.06,4,0.02,0.06,1,0
78548,49,5,0,0,207,1,0.05,0.05,16,0.06,0.06,1,0
85764,12,9,34,34,11,0,0.82,0.18,78,0.74,0.03,0,4
37521,24,9,198,11354,4,0,1,0,255,1,0,0.01,4
97657,24,9,284,8079,1,0,1,0,255,1,0,0,4
124606,12,9,44,110,1,0,1,0,189,0.54,0.05,0,4
28254,24,9,330,9132,2,0,1,0,255,1,0,0,4
109895,44,1,0,0,373,0.09,0,1,1,0,1,0.11,1
76549,14,9,8,0,1,0,1,0,93,1,0,0,1
58666,20,9,334,0,2,0,1,0,39,1,0,0,2
91523,54,9,1317,404,1,0,1,0,156,0.5,0.08,0,4
36076,49,5,0,0,65,1,0.05,0.08,3,0.13,0.13,1,0
117461,24,9,331,1288,26,0,1,0,255,1,0,0,4
43530,52,5,0,0,212,1,0.05,0.06,11,0.04,0.06,1,0
41600,14,9,30,0,1,0,1,0,23,1,0,0,4
70781,24,9,235,327,4,0,1,0,255,1,0,0,4
67134,66,5,0,0,127,1,0.03,0.06,6,0.02,0.06,1,0
